KP,KI,DELAY,SETTLINGTIME
115.1,0.1,0.06,39.3708
115.1,5.1,0.06,39.73176
115.1,10.1,0.06,46.6508
120.1,0.1,0.06,41.52028571
120.1,5.1,0.06,45.6308
120.1,10.1,0.06,46.4508
125.1,0.1,0.06,41.58876923
125.1,5.1,0.06,45.5708
125.1,10.1,0.06,45.8308
130.1,0.1,0.06,41.51685714
130.1,5.1,0.06,45.4108
130.1,10.1,0.06,45.6364
135.1,0.1,0.06,41.098
135.1,5.1,0.06,44.8108
135.1,10.1,0.06,45.2308
140.1,0.1,0.06,40.81626087
140.1,5.1,0.06,44.6564
140.1,10.1,0.06,44.7716
145.1,0.1,0.06,40.69994286
145.1,5.1,0.06,44.4508
145.1,10.1,0.06,44.57826667
150.1,0.1,0.06,40.58222222
150.1,5.1,0.06,43.8864
155.1,0.1,0.06,42.7708
155.1,5.1,0.06,43.70493333
160.1,0.1,0.06,42.7064
160.1,5.1,0.06,43.53826667
165.1,0.1,0.06,42.6664
165.1,5.1,0.06,45.324
170.1,0.1,0.06,42.5664
170.1,5.1,0.06,45.25133333
175.1,0.1,0.06,44.69457143
175.1,5.1,0.06,48.3308
180.1,0.1,0.06,44.72
180.1,5.1,0.06,47.6908
185.1,0.1,0.06,44.65112
185.1,5.1,0.06,47.6564
190.1,0.1,0.06,44.56296552
190.1,5.1,0.06,47.5464
195.1,0.1,0.06,46.4108
195.1,5.1,0.06,47.3364
200.1,0.1,0.06,46.5364
200.1,5.1,0.06,49.11
205.1,0.1,0.06,46.4864
205.1,5.1,0.06,49.1556
210.1,0.1,0.06,48.7568
210.1,5.1,0.06,51.4508
215.1,0.1,0.06,48.6874
215.1,5.1,0.06,51.5164
220.1,0.1,0.06,48.60503448
220.1,5.1,0.06,51.3108
225.1,0.1,0.06,50.3508
225.1,5.1,0.06,53.4105
230.1,0.1,0.06,50.5264
15.1,0.1,0.07,52.8808
20.1,0.1,0.07,48.5808
20.1,5.1,0.07,99.788
25.1,0.1,0.07,73.82133333
25.1,5.1,0.07,73.84742857
30.1,0.1,0.07,42.7408
30.1,5.1,0.07,59.9008
35.1,0.1,0.07,40.7008
35.1,5.1,0.07,49.1705
40.1,0.1,0.07,38.9764
40.1,5.1,0.07,46.74658824
45.1,0.1,0.07,37.7764
45.1,5.1,0.07,44.18
45.1,10.1,0.07,57.87466667
50.1,0.1,0.07,36.7816
50.1,5.1,0.07,42.456
50.1,10.1,0.07,55.76986667
55.1,0.1,0.07,38.68
55.1,5.1,0.07,46.7008
55.1,10.1,0.07,53.78114286
60.1,0.1,0.07,38.90545455
60.1,5.1,0.07,45.9608
60.1,10.1,0.07,51.9228
65.1,0.1,0.07,38.7694
65.1,5.1,0.07,45.4808
65.1,10.1,0.07,50.728
70.1,0.1,0.07,38.5472
70.1,5.1,0.07,44.7164
70.1,10.1,0.07,49.5948
75.1,0.1,0.07,41.5008
75.1,5.1,0.07,43.9008
75.1,10.1,0.07,48.544
80.1,0.1,0.07,41.5808
80.1,5.1,0.07,43.4008
80.1,10.1,0.07,47.56909091
85.1,0.1,0.07,41.4208
85.1,5.1,0.07,42.7464
85.1,10.1,0.07,46.63786667
90.1,0.1,0.07,40.8408
90.1,5.1,0.07,41.9864
90.1,10.1,0.07,45.77768421
95.1,0.1,0.07,40.6864
95.1,5.1,0.07,41.6816
95.1,10.1,0.07,44.9868
100.1,0.1,0.07,40.3608
100.1,5.1,0.07,40.9564
100.1,10.1,0.07,44.66452174
105.1,0.1,0.07,39.8564
105.1,5.1,0.07,40.68826667
105.1,10.1,0.07,47.6208
110.1,0.1,0.07,39.7042
110.1,5.1,0.07,40.0044
110.1,10.1,0.07,47.3608
115.1,0.1,0.07,39.4964
115.1,5.1,0.07,39.76976
115.1,10.1,0.07,46.7608
120.1,0.1,0.07,41.6405
120.1,5.1,0.07,45.6008
120.1,10.1,0.07,46.5764
125.1,0.1,0.07,41.67386667
125.1,5.1,0.07,45.6808
125.1,10.1,0.07,45.9464
130.1,0.1,0.07,41.60084211
130.1,5.1,0.07,45.5808
130.1,10.1,0.07,45.70826667
135.1,0.1,0.07,41.44433333
135.1,5.1,0.07,44.9408
135.1,10.1,0.07,45.5064
140.1,0.1,0.07,40.89663158
140.1,5.1,0.07,44.7264
140.1,10.1,0.07,44.8416
